item,AD,BB,JA
kitchen_bags,5.163333333333333,5.163333333333333,5.163333333333333
popcorn,0.0,5.76,5.76
eggs,1.77,0.0,1.77
beer,9.79,0.0,0.0
total,16.723333333333333,10.923333333333332,12.693333333333332
